userId,lang_count,counts_details,counts_pictures,counts_kisses,whazzup_len,cluster_4,cluster_5
4e3842f79b70e7ea57000064,1,1.0,4,239,39,0,0
4e3d34bf5d2bce7b160006a3,3,0.85,5,13,13,2,2
4ec96c090dc82cb25d00000a,0,0.0,4,88,0,2,2
4eef8b81ebf2c8f64000000c,2,0.12,3,1015,40,1,1
4f317525883fa9636900000e,2,0.81,6,1348,3,3,4
4fa0fb54883fa90e0d0005d6,2,0.81,1,147,3,2,0
4fb4198f883fa90e04000031,1,0.54,3,421,31,0,3
4fc51294ca61be3762000155,1,0.92,5,117,10,2,0
500aef142d15de056f000480,1,0.96,4,116,42,2,0
500ebac6a9d0b30634000f91,1,0.69,5,1195,2,3,4
501960390c84d34875000394,1,1.0,2,1148,2,3,1
501a62870c84d32d75000d89,1,0.04,4,647,17,1,1
5038fbd96f37f3d14400004c,1,0.92,7,86,37,2,2
503fc2b8a9d0b3b2480000a8,1,0.62,1,982,4,1,1
5043944e6f37f35f6600002d,4,0.19,5,1282,27,3,4
5055c9d1ebf2c85e20000073,1,0.88,9,431,41,0,3
5061efafca61bef159000003,1,0.96,7,38,22,2,2
5081f53b0c84d34f350003ac,1,0.96,7,25,58,2,2
5095ab72a9d0b35655000043,1,0.92,10,468,17,0,3
509e925c1b0ba0713600001f,2,0.81,11,1469,9,3,4
509fd03890c8fd376b000007,4,0.77,8,368,31,0,3
50a2cd101b0ba03874000031,4,0.12,3,143,0,2,0
50a88f797acab1596d00006c,1,0.19,5,124,3,2,0
50a8deee0c84d37d2c000005,1,0.88,3,360,5,0,3
50abd2c0c56da13775000018,1,0.85,8,486,7,0,3
50aff34a1a0ba07b1d00004e,1,0.85,5,6,86,2,2
50b283771b0ba0162c00008c,1,1.0,5,316,47,0,3
50b48af7c76da15a65000048,1,0.77,4,1717,69,3,4
50bca8837acab16d13000049,1,0.96,4,297,53,0,3
50bfe4fd0c84d3eb690001df,2,0.77,11,216,12,0,0
50c0be44140ba07b3a000029,1,0.58,4,328,10,0,3
50c442ab7acab12b2500025c,1,0.9,6,81,2,2,2
50c65f97c76da1170400000a,1,0.88,4,158,3,2,0
50c7bf0f1b0ba09307000014,1,0.81,5,89,43,2,2
50c8b1ccc56da12b4e000008,1,0.35,1,37,0,2,2
50cfc14b150ba0f5620001f7,2,0.96,8,138,32,2,0
50d89ab12d15de7c73000019,0,0.81,3,1196,2,3,4
50dd6cd8150ba0415a000027,4,0.62,11,292,75,0,3
50e5e7cf7acab1317a000007,1,0.42,5,132,22,2,0
50e692676f37f3827d000034,0,0.35,1,1306,2,3,4
50e9be370c84d3783600005f,1,0.81,11,203,20,0,0
50f3220f38a89c0a5b00004e,1,0.88,7,301,59,0,3
50f445bb38a89cfb2300002a,1,0.69,7,335,45,0,3
50f462f090c8fd3679000166,1,0.38,3,39,0,2,2
50f6eb85170ba0cd43000041,1,0.96,3,772,31,1,1
50f7100f190ba04d5e00017e,1,0.77,10,623,30,1,1
50f8fa1a170ba0b3320000e6,4,0.85,6,610,3,1,3
50faaba538a89c18710000b0,1,0.54,1,0,0,2,2
50fc18d51c6988476800011b,2,0.42,4,1978,4,3,4
50fdb9d1170ba0524c000035,1,1.0,11,450,9,0,3
5102daf51e69880d1500010b,1,0.5,8,52,3,2,2
510407c790c8fd9a22000050,1,1.0,4,362,15,0,3
51059c68190ba0f01c00001e,2,0.96,4,467,2,0,3
5106db1a140ba0307e00016d,5,0.73,11,1898,32,3,4
5109b4e4170ba0b722000222,2,0.96,7,317,2,0,3
510a4f750c84d3a54800007d,1,1.0,10,593,2,1,3
510d10610c84d39818000190,1,1.0,5,734,19,1,1
510ef67b160ba0dd660000e6,1,0.96,10,290,26,0,3
51115846150ba0c3310000d2,1,0.85,4,20,71,2,2
5111891a1c698865440000fc,1,0.73,8,551,17,1,3
511592de90c8fd152a0000f0,1,0.92,6,1854,83,3,4
511a6290190ba01634000087,2,1.0,7,158,18,0,0
511a9d480c84d3851c000132,2,0.81,7,1117,21,3,1
511ae00f0c84d3be3200016f,2,0.46,3,413,2,0,3
511b8ed138a89c2320000019,1,0.35,4,241,14,0,0
511be737160ba0754000013f,1,0.81,5,730,21,1,1
511c3eaac76da1e526000004,3,0.23,4,316,80,0,3
511cceb51d6988784100018d,1,0.5,9,355,0,0,3
511d43190c84d3de7200016e,0,0.85,7,746,5,1,1
511e3f5a160ba05c2e000145,1,0.96,3,22,71,2,2
511f820f140ba0a91400019a,1,0.65,4,644,2,1,1
512144e00c84d3d524000109,1,0.85,4,88,3,2,2
5122a0a3170ba0d75900015e,1,0.42,10,644,10,1,1
512a2a4090c8fd9476000171,1,1.0,11,1116,27,3,1
512c015c170ba06b630001b0,1,0.69,6,667,42,1,1
513248b3160ba0eb6b000133,1,0.77,6,189,19,0,0
5134e776160ba0c670000009,1,0.73,6,396,4,0,3
513a258e140ba02e5d000013,1,0.81,4,188,2,0,0
513c612c150ba06326000073,1,0.88,1,40,0,2,2
513f1005150ba0bf31000da2,1,1.0,6,1861,23,3,4
513f7e33150ba08d5f000390,1,0.15,2,338,2,0,3
514182931a0ba0f928000a9c,1,0.81,11,247,0,0,0
514dfc81190ba09d5600057d,1,0.58,5,29,11,2,2
515f4baf140ba0155a00004b,3,0.46,4,657,2,1,1
5164227c150ba0eb480001fa,1,0.58,5,759,2,1,1
5165b7561c0ba00268000013,1,0.85,11,225,63,0,0
516ae6d91c0ba091150002af,1,0.81,3,42,0,2,2
516bb8811a0ba0c51b000161,1,0.88,9,216,73,0,0
516dbf2f1b0ba0d9230006c3,1,0.8,5,234,4,0,0
5172dfd0170ba0887f0004f5,4,0.73,5,120,0,2,0
5173de26170ba008410005ba,1,0.23,6,57,79,2,2
517ad1c61c0ba0316a000078,3,0.88,9,180,2,0,0
517ccdc3160ba07660000056,3,0.54,4,670,3,1,1
517d355d140ba0625600030c,1,0.31,5,475,68,0,3
518019d9170ba0f33c000067,1,1.0,9,242,25,0,0
5180d1c5160ba07d3c0001b4,1,0.85,11,164,52,0,0
518809f21c0ba0d070000218,1,0.58,9,64,30,2,2
518b88801a0ba0ec32000230,1,0.5,3,3,26,2,2
518b9f17c66da1330c000018,2,0.73,6,1414,18,3,4
518c2086170ba0b803000098,1,0.92,4,6,87,2,2
5193c6a61b0ba0f26a000289,1,0.38,3,62,0,2,2
519e474b150ba0e67c000069,2,0.31,3,801,9,1,1
519e6221170ba0346f000395,1,0.65,5,323,24,0,3
51a6406a160ba08829000084,1,0.85,8,28,13,2,2
51a75363c66da18f1f0000a5,1,0.27,1,178,4,0,0
51a7914b1c0ba08d700000ca,1,0.77,2,405,60,0,3
51aa703c160ba02947000027,1,0.73,3,164,19,0,0
51ab3c42c76da1a82800058c,1,0.85,11,88,4,2,2
51ab97cf1b0ba00a1300003d,1,0.92,7,490,24,1,3
51b49b21150ba00b7d0f67fe,1,0.88,3,106,2,2,2
51b4bdbc150ba0cb7db2bc41,1,0.85,8,500,55,1,3
51b4efeec56da12d53076221,0,0.69,4,1306,13,3,4
51bc59ecc66da12810bee857,1,0.46,6,53,2,2,2
51beeb07170ba0d0458fb9be,1,0.81,7,333,34,0,3
51bf47c8180ba02b2a422ac3,1,0.9,4,242,2,0,0
51c36089150ba0fe19d46477,1,0.65,2,234,2,0,0
51c38cdd170ba0ca7a5d7a01,1,0.54,3,43,76,2,2
51c5c7f21c0ba02f20155447,1,0.85,5,426,18,0,3
51c840e7c56da1da76081afb,1,0.65,7,437,3,0,3
51c8c803c86da14e4e0ba2ce,1,0.62,5,4,6,2,2
51cb3216170ba0937405e60b,1,0.27,3,617,2,1,3
51cb32cf160ba0ee6b746bb3,1,0.81,3,518,19,1,3
51d02290140ba0d44d2f6161,1,1.0,8,735,23,1,1
51d17c6b170ba019793064aa,1,0.92,8,233,47,0,0
51d1ea931b0ba07569852f5d,3,0.81,5,1003,35,1,1
51d40d3a1b0ba00c7f774ce3,1,0.23,3,119,2,2,0
51d4116a170ba0236558b3b3,4,1.0,6,1235,4,3,4
51d5b7d5190ba0885894ca58,1,0.85,3,729,3,1,1
51d68aec140ba0230fea2673,1,0.46,4,1046,2,3,1
51d87d78160ba0462533f98f,1,0.85,5,93,7,2,2
51d97722c66da1cd3ab30658,1,0.5,10,862,27,1,1
51d9ef961c0ba07e4e37f0a6,1,0.54,2,277,3,0,0
51dac73d140ba09b51cf5902,1,0.19,5,137,2,2,0
51db05f8140ba09b51fb6d74,1,0.65,4,481,52,0,3
51e6f27ac66da16818971cfc,1,0.81,8,942,18,1,1
51e845c9c56da1ad3d76f910,1,0.35,6,1106,20,3,1
51f23a05c56da1b929c62ec0,1,0.0,4,1346,49,3,4
51f5858f140ba0670a0f1848,1,0.35,2,41,0,2,2
51f6c5f9190ba002600bef0b,1,0.85,8,271,78,0,0
51f6c6b0c66da1d1093e90f6,1,0.42,8,889,85,1,1
51f6cf0d170ba0ee2d63a0d2,1,0.62,6,906,2,1,1
51f7551e180ba05804011bb8,3,0.92,3,217,81,0,0
51ffdb85c66da1eb32664c35,1,0.77,6,520,11,1,3
520168ccc56da19d2f6dcb57,1,0.77,7,339,33,0,3
520507b31a0ba0c479b8c166,3,0.73,8,200,51,0,0
52053d9c180ba0217c669998,1,0.0,3,4,0,2,2
52060721c46da16b0e990384,1,1.0,4,151,66,2,0
5206157f170ba040231bbfa2,2,0.27,1,239,0,0,0
520946041b0ba0c4592ca3f8,1,0.88,10,926,13,1,1
520bc1031c0ba0d46f9cfe88,3,0.96,4,275,0,0,0
520bf3571c0ba07c326f8bdd,1,0.73,6,132,80,2,0
520f3496190ba039162326a5,1,0.92,5,157,75,0,0
520fe42bc76da19e37df8f07,1,0.85,9,168,2,0,0
52108ec4150ba0f037e8431c,1,0.31,5,831,0,1,1
5212667c190ba0b66480639d,1,0.73,8,837,0,1,1
5213d4d1190ba0a8108690b3,1,0.81,4,413,37,0,3
5214f8531a0ba0e7439c28f3,1,0.88,8,149,61,2,0
